Image,PSNR,SSIM,Entropy
Lytro-1,28.7991,0.8659,15.5198
Lytro-2,29.8929,0.8877,14.4701
Lytro-3,26.8864,0.8198,16.015
Lytro-4,28.7732,0.8872,14.8847
Lytro-5,25.6536,0.8584,15.6392
Lytro-6,25.8895,0.8345,15.0977
Lytro-7,28.0194,0.8489,15.756
Lytro-8,28.3784,0.8966,15.5647
Lytro-9,23.0045,0.7314,15.4105
Lytro-10,24.4858,0.8109,14.4985
Lytro-11,25.246,0.8257,14.3737
Lytro-12,25.1373,0.8479,14.17
Lytro-13,22.2701,0.6571,16.0525
Lytro-14,24.8239,0.8102,14.7343
Lytro-15,34.2421,0.923,13.8772
Lytro-16,30.8895,0.9076,15.6078
Lytro-17,27.0255,0.7885,16.9893
Lytro-18,33.5203,0.9292,13.5808
Lytro-19,24.2624,0.8303,13.8582
Lytro-20,26.6418,0.8618,14.7266
